2025-03-24 11:20:52,221 - INFO - ------------------------------------
2025-03-24 11:20:52,221 - INFO - ------------------------------------
2025-03-24 11:20:52,221 - INFO - ----- New Pacman A* Search Run -----
2025-03-24 11:20:52,221 - INFO - Start time: 2025-03-24 11:20:52.221611
2025-03-24 11:20:52,222 - INFO - Arguments: Namespace(layout_file='layouts/example_layout.txt', heuristic='mfd', no_visual=False, cell_size=20, delay=0.1, output=None)
2025-03-24 11:20:52,222 - INFO - Loading maze from layouts/example_layout.txt
2025-03-24 11:20:52,222 - INFO - Loading maze from file: layouts/example_layout.txt
2025-03-24 11:20:52,222 - INFO - Pacman start position found at (17, 1)
2025-03-24 11:20:52,222 - INFO - Maze loaded, dimensions: 36x18
2025-03-24 11:20:52,222 - INFO - Total food points: 8
2025-03-24 11:20:52,222 - INFO - Total magical pies: 4
2025-03-24 11:20:52,222 - INFO - Maze loaded successfully
2025-03-24 11:20:52,222 - INFO - Using Minimum Food Distance heuristic
2025-03-24 11:20:52,222 - INFO - Starting A* search
2025-03-24 11:20:52,222 - INFO - A* search started from position (17, 1)
2025-03-24 11:20:52,222 - INFO - Number of food points: 8
2025-03-24 11:20:52,222 - INFO - Number of magical pies: 4
2025-03-24 11:20:56,019 - INFO - States explored: 110000, current position: (5, 1), remaining food: 5
2025-03-24 11:20:56,048 - INFO - States explored: 111000, current position: (30, 13), remaining food: 4
2025-03-24 11:20:56,080 - INFO - States explored: 112000, current position: (19, 5), remaining food: 3
2025-03-24 11:20:56,112 - INFO - States explored: 113000, current position: (6, 10), remaining food: 4
2025-03-24 11:20:56,142 - INFO - States explored: 114000, current position: (8, 6), remaining food: 5
2025-03-24 11:20:56,172 - INFO - States explored: 115000, current position: (23, 5), remaining food: 5
2025-03-24 11:20:56,203 - INFO - States explored: 116000, current position: (22, 8), remaining food: 4
2025-03-24 11:20:56,233 - INFO - States explored: 117000, current position: (19, 1), remaining food: 4
2025-03-24 11:20:56,265 - INFO - States explored: 118000, current position: (10, 6), remaining food: 3
2025-03-24 11:20:56,295 - INFO - States explored: 119000, current position: (1, 7), remaining food: 5
2025-03-24 11:20:56,325 - INFO - States explored: 120000, current position: (5, 1), remaining food: 6
2025-03-24 11:20:56,356 - INFO - States explored: 121000, current position: (20, 8), remaining food: 2
2025-03-24 11:20:56,389 - INFO - States explored: 122000, current position: (8, 16), remaining food: 4
2025-03-24 11:20:56,419 - INFO - States explored: 123000, current position: (30, 7), remaining food: 3
2025-03-24 11:20:56,450 - INFO - States explored: 124000, current position: (33, 1), remaining food: 4
2025-03-24 11:20:56,479 - INFO - States explored: 125000, current position: (21, 12), remaining food: 5
2025-03-24 11:20:56,508 - INFO - States explored: 126000, current position: (10, 15), remaining food: 5
2025-03-24 11:20:56,542 - INFO - States explored: 127000, current position: (29, 8), remaining food: 5
2025-03-24 11:20:56,739 - INFO - States explored: 128000, current position: (6, 4), remaining food: 4
2025-03-24 11:20:56,771 - INFO - States explored: 129000, current position: (8, 13), remaining food: 2
2025-03-24 11:20:56,801 - INFO - States explored: 130000, current position: (18, 13), remaining food: 4
2025-03-24 11:20:56,829 - INFO - States explored: 131000, current position: (11, 10), remaining food: 3
2025-03-24 11:20:56,861 - INFO - States explored: 132000, current position: (14, 7), remaining food: 6
2025-03-24 11:20:56,893 - INFO - States explored: 133000, current position: (5, 12), remaining food: 5
2025-03-24 11:20:56,924 - INFO - States explored: 134000, current position: (12, 6), remaining food: 3
2025-03-24 11:20:56,954 - INFO - States explored: 135000, current position: (15, 13), remaining food: 3
2025-03-24 11:20:56,984 - INFO - States explored: 136000, current position: (21, 5), remaining food: 2
2025-03-24 11:20:57,014 - INFO - States explored: 137000, current position: (12, 9), remaining food: 4
2025-03-24 11:20:57,045 - INFO - States explored: 138000, current position: (4, 7), remaining food: 4
2025-03-24 11:20:57,076 - INFO - States explored: 139000, current position: (6, 16), remaining food: 5
2025-03-24 11:20:57,107 - INFO - States explored: 140000, current position: (24, 8), remaining food: 5
2025-03-24 11:20:57,136 - INFO - States explored: 141000, current position: (19, 15), remaining food: 3
2025-03-24 11:20:57,167 - INFO - States explored: 142000, current position: (10, 6), remaining food: 3
2025-03-24 11:20:57,196 - INFO - States explored: 143000, current position: (17, 3), remaining food: 4
2025-03-24 11:20:57,229 - INFO - States explored: 144000, current position: (7, 9), remaining food: 5
2025-03-24 11:20:57,260 - INFO - States explored: 145000, current position: (34, 2), remaining food: 4
2025-03-24 11:20:57,290 - INFO - States explored: 146000, current position: (5, 13), remaining food: 4
2025-03-24 11:20:57,319 - INFO - States explored: 147000, current position: (7, 3), remaining food: 4
2025-03-24 11:20:57,350 - INFO - States explored: 148000, current position: (11, 9), remaining food: 4
2025-03-24 11:20:57,380 - INFO - States explored: 149000, current position: (14, 9), remaining food: 5
2025-03-24 11:20:57,393 - INFO - Solution found after exploring 149404 states
2025-03-24 11:20:57,393 - INFO - Max frontier size: 7042
2025-03-24 11:20:57,507 - INFO - A* search completed in 5.28 seconds
2025-03-24 11:20:57,507 - INFO - Solution found with 137 actions and cost 136
2025-03-24 11:20:57,507 - INFO - Solution actions:
2025-03-24 11:20:57,507 - INFO -   1: West
2025-03-24 11:20:57,507 - INFO -   2: West
2025-03-24 11:20:57,507 - INFO -   3: West
2025-03-24 11:20:57,507 - INFO -   4: West
2025-03-24 11:20:57,507 - INFO -   5: West
2025-03-24 11:20:57,507 - INFO -   6: West
2025-03-24 11:20:57,507 - INFO -   7: West
2025-03-24 11:20:57,507 - INFO -   8: West
2025-03-24 11:20:57,507 - INFO -   9: West
2025-03-24 11:20:57,507 - INFO -   10: West
2025-03-24 11:20:57,507 - INFO -   11: West
